tau,alpha,t_tps,a_qps
0,0,0.0000,0.0000
0,1,0.0000,0.1760
0,2,0.0000,0.2816
1,0,864.3712,0.0000
1,1,885.0134,0.1056
1,2,889.3737,0.1407
2,0,1795.2570,0.0000
2,1,1767.3078,0.0333
2,2,1726.8150,0.0704
