tau,alpha,t_tps,a_qps
0,0,0.0000,0.0000
0,1,0.0000,0.2466
0,2,0.0000,0.3528
1,0,871.6604,0.0000
1,1,813.4333,0.0000
1,2,863.6572,0.0000
2,0,1706.6967,0.0000
2,1,1700.8806,0.0000
2,2,1732.3517,0.0000
