tau,alpha,t_tps,a_qps
0,0,0.0000,0.0000
0,1,0.0000,0.1667
0,2,0.0000,0.2333
1,0,815.7395,0.0000
1,1,811.4063,0.1000
1,2,831.4000,0.0667
2,0,1625.8583,0.0000
2,1,1590.1137,0.0333
2,2,1622.7333,0.0333
