tau,alpha,t_tps,a_qps
0,0,0.0000,0.0000
0,1,0.0000,0.1636
0,2,0.0000,0.3927
1,0,871.9634,0.0000
1,1,870.2420,0.2000
1,2,453.3307,0.3275
2,0,568.8906,0.0000
2,1,505.1172,0.0981
2,2,423.3071,0.1308
