tau,alpha,t_tps,a_qps
0,0,0.0000,0.0000
0,1,0.0000,0.2000
0,2,0.0000,0.2000
1,0,0.0000,0.0000
1,1,0.0000,0.2000
1,2,0.0000,0.1333
2,0,0.0000,0.0000
2,1,0.0000,0.2000
2,2,0.0000,0.1333
