tau,alpha,t_tps,a_qps
0,0,0.0000,0.0000
0,1,0.0000,0.1931
0,2,0.0000,0.3215
1,0,833.6226,0.0000
1,1,852.1898,0.1285
1,2,855.2500,0.1930
2,0,1486.7444,0.0000
2,1,835.3674,0.0000
2,2,1980.6327,0.0000
