tau,alpha,t_tps,a_qps
0,0,0.0000,0.0000
0,1,0.0000,0.2000
0,2,0.0000,0.2000
1,0,879.1333,0.0000
1,1,881.3333,0.1000
1,2,888.3000,0.1000
2,0,1756.5081,0.0000
2,1,1750.3165,0.0333
2,2,1710.7430,0.0333
