tau,alpha,t_tps,a_qps
0,0,0.0000,0.0000
0,1,0.0000,0.1587
0,2,0.0000,0.4450
1,0,879.6658,0.0000
1,1,853.0262,0.2224
1,2,841.5549,0.4450
2,0,1489.1467,0.0000
2,1,1658.6866,0.0951
2,2,1694.4921,0.1906
